district,date,landslide,state,slope_deg,elevation_m,aspect_deg,curvature,twi,lulc_class,lithology,dist_river_km,drainage_density,ndvi,rain_1d,rain_3d,rain_7d,rain_15d,rain_max3d,is_monsoon,slope_x_rain7d,twi_x_rain15d,rain_intensity_ratio,soil_saturation_proxy
Wayanad,2022-07-15,1,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,18.9,57.8,125.6,238.2,19.4,1,30.772,18.5796,1.0475059382422802,24.556701030927837
Wayanad,2015-01-08,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,0.0,0.0,0.0,0.2,0.0,0,0.0,0.015600000000000001,0.0,0.02061855670103093
Nilgiris,2022-10-14,1,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,7.7,16.7,52.0,70.9,7.7,0,14.196000000000002,4.8921,1.0227703984819734,3.692708333333334
Shivamogga,2017-09-06,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,4.8,7.7,9.2,72.9,4.8,1,1.5916,5.977799999999999,3.3939393939393936,11.390625
Nilgiris,2020-11-16,0,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,22.0,29.3,46.6,90.1,22.0,0,12.7218,6.216899999999999,3.255813953488372,4.692708333333333
Theni,2018-07-01,1,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,10.4,23.9,29.4,39.2,11.9,1,7.026599999999999,2.8616,2.418604651162791,3.769230769230769
Thrissur,2019-06-07,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,1.4,37.2,52.9,97.6,20.2,1,6.400899999999999,8.686399999999999,0.1828358208955224,31.483870967741932
Wayanad,2021-02-10,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,0.0,0.0,0.1,0.7,0.0,0,0.0245,0.0546,0.0,0.07216494845360825
Dindigul,2018-09-15,0,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49,2.7,8.0,17.4,24.4,4.4,1,3.0624000000000002,1.952,1.0441988950276244,3.3888888888888884
Coimbatore,2022-11-26,0,Tamil Nadu,11.8,440,125,-0.14,9.1,2,2,3.5,1.7,0.41,0.6,1.1,1.9,44.5,0.6,0,0.2242,4.0495,1.6153846153846152,8.24074074074074
Shivamogga,2020-09-23,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,3.9,27.2,95.6,195.7,17.9,1,16.5388,16.047399999999996,0.28348909657320875,30.578124999999996
Idukki,2021-08-18,0,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68,7.9,19.4,41.4,118.7,11.1,1,11.6748,8.5464,1.31353919239905,10.321739130434782
Thrissur,2020-11-06,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,7.2,26.3,42.9,119.1,10.8,0,5.190899999999999,10.5999,1.1559633027522938,38.41935483870967
Uttara Kannada,2022-09-04,1,Karnataka,19.6,610,105,-0.35,7.9,0,3,1.1,2.6,0.71,0.8,9.2,60.4,125.6,8.4,1,11.838400000000002,9.9224,0.0916530278232406,17.690140845070424
Kozhikode,2022-06-03,0,Kerala,15.7,320,88,-0.22,8.4,1,1,1.8,2.2,0.58,5.1,18.2,46.3,117.3,10.5,1,7.2691,9.853200000000001,0.7595744680851064,27.928571428571427
Kodagu,2016-11-15,0,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74,1.5,6.7,6.8,15.2,3.7,0,1.8224,1.0639999999999998,1.4000000000000001,1.2666666666666666
Wayanad,2018-06-22,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,3.6,19.7,42.5,179.7,9.3,1,10.4125,14.016599999999999,0.5833333333333334,18.52577319587629
Thrissur,2017-04-01,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,0.5,0.9,1.1,5.1,0.5,0,0.1331,0.4539,1.9444444444444442,1.6451612903225805
Sindhudurg,2022-06-22,0,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53,11.9,49.0,97.7,198.1,21.8,1,13.873399999999998,17.0366,0.8465447154471545,52.131578947368425
Uttara Kannada,2019-12-01,0,Karnataka,19.6,610,105,-0.35,7.9,0,3,1.1,2.6,0.71,2.2,2.4,2.4,2.5,2.2,0,0.4704,0.1975,4.967741935483872,0.35211267605633806
Theni,2017-07-01,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,1.1,1.7,19.3,35.5,1.1,1,4.6127,2.5915,0.385,3.4134615384615383
Satara,2020-06-22,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,4.1,11.7,139.8,249.9,4.3,1,30.057000000000002,18.9924,0.20427046263345192,28.39772727272727
Kodagu,2023-08-23,0,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74,0.7,3.4,43.7,52.5,1.6,1,11.7116,3.675,0.11036036036036036,4.375
Nilgiris,2021-11-18,1,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,15.7,39.6,83.6,139.8,21.4,0,22.822799999999997,9.6462,1.3036773428232504,7.281250000000001
Thrissur,2019-08-10,1,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,48.2,203.9,325.3,342.9,78.9,1,39.3613,30.5181,1.0349693251533743,110.61290322580643
Sindhudurg,2020-03-09,0,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53,0.0,0.0,0.0,1.4,0.0,0,0.0,0.1204,0.0,0.3684210526315789
Shivamogga,2017-12-07,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,0.1,1.2,1.6,1.6,1.0,0,0.27680000000000005,0.13119999999999998,0.3043478260869565,0.25
Sindhudurg,2021-07-04,0,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53,8.8,22.8,32.1,110.0,9.3,1,4.5582,9.46,1.878048780487805,28.947368421052634
Chikmagalur,2022-08-18,1,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,50.4,51.9,58.3,222.2,50.4,1,13.059199999999999,16.665,5.979661016949153,22.444444444444443
Theni,2019-08-19,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,12.1,41.2,59.8,113.6,20.6,1,14.292199999999998,8.2928,1.4000000000000001,10.923076923076922
Thrissur,2020-04-11,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,2.0,5.1,15.4,20.1,2.6,0,1.8634,1.7889000000000002,0.8695652173913042,6.483870967741936
Nilgiris,2018-09-05,0,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,0.0,0.0,7.8,18.5,0.0,1,2.1294,1.2765,0.0,0.9635416666666667
Satara,2020-09-02,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,4.9,15.9,68.3,186.9,8.1,1,14.6845,14.2044,0.49710144927536243,21.238636363636363
Raigad,2020-09-23,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,37.8,89.4,154.9,237.2,39.1,1,29.276099999999996,18.5016,1.7005141388174805,38.25806451612903
Idukki,2018-08-17,1,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68,26.3,143.8,191.8,293.1,63.2,1,54.0876,21.1032,0.9563636363636363,25.48695652173913
Kozhikode,2015-07-05,0,Kerala,15.7,320,88,-0.22,8.4,1,1,1.8,2.2,0.58,7.7,20.0,64.1,321.1,8.3,1,10.063699999999999,26.972400000000004,0.8317901234567903,76.45238095238095
Sindhudurg,2022-07-27,0,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53,20.5,32.7,48.6,257.9,20.5,1,6.9012,22.179399999999998,2.9107505070993915,67.86842105263158
Chikmagalur,2018-08-13,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,11.7,42.2,80.9,118.7,19.6,1,18.1216,8.9025,1.003676470588235,11.98989898989899
Wayanad,2017-09-26,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,8.1,18.4,23.0,129.6,8.1,1,5.635,10.108799999999999,2.392405063291139,13.360824742268042
Uttara Kannada,2017-03-21,0,Karnataka,19.6,610,105,-0.35,7.9,0,3,1.1,2.6,0.71,0.0,0.0,3.2,3.2,0.0,0,0.6272000000000001,0.2528,0.0,0.45070422535211274
Nilgiris,2023-07-22,0,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,3.9,6.5,11.6,26.9,3.9,1,3.1668000000000003,1.8561,2.2195121951219514,1.4010416666666667
Wayanad,2022-01-15,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,0.0,0.0,0.0,6.5,0.0,0,0.0,0.507,0.0,0.6701030927835052
Dakshina Kannada,2016-06-26,0,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,25.2,95.5,318.9,566.5,48.8,1,64.0989,43.6205,0.5519399249061326,96.01694915254237
Theni,2021-08-06,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,2.7,4.8,5.8,14.9,2.7,1,1.3861999999999997,1.0877,2.907692307692308,1.4326923076923077
Dindigul,2022-06-02,0,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49,0.9,5.8,29.6,41.1,2.9,1,5.2096,3.2880000000000003,0.20792079207920794,5.708333333333333
Chikmagalur,2017-07-07,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,6.3,23.6,58.3,129.6,10.7,1,13.059199999999999,9.72,0.7474576271186442,13.09090909090909
Shivamogga,2022-08-05,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,20.6,41.1,123.9,186.9,20.6,1,21.434700000000003,15.3258,1.1573033707865168,29.203125
Malappuram,2018-11-01,0,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61,4.5,5.0,5.1,51.7,4.5,0,0.9333,4.1876999999999995,5.431034482758621,9.942307692307693
Chikmagalur,2019-07-12,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,3.6,27.5,66.0,132.9,16.9,1,14.783999999999999,9.9675,0.3778110944527736,13.424242424242424
Dindigul,2018-03-10,0,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49,0.0,0.0,0.0,1.4,0.0,0,0.0,0.11199999999999999,0.0,0.19444444444444442
Satara,2015-06-08,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,4.2,18.9,36.3,40.1,12.5,1,7.804499999999999,3.0476,0.7945945945945948,4.556818181818182
Kolhapur,2016-09-02,0,Maharashtra,15.1,460,110,-0.21,8.5,1,3,2.2,2.1,0.46,1.4,4.8,22.7,67.4,2.1,1,3.4276999999999997,5.729000000000001,0.41880341880341876,12.035714285714288
Chikmagalur,2023-07-17,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,5.5,38.8,83.0,290.3,19.2,1,18.592,21.7725,0.45997610513739545,29.32323232323232
Ratnagiri,2017-08-15,0,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55,1.9,8.0,33.9,64.5,4.5,1,5.6952,5.3535,0.3843930635838151,14.333333333333334
Thrissur,2021-08-27,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,27.5,58.8,89.0,138.2,27.5,1,10.768999999999998,12.2998,2.146042363433668,44.58064516129032
Coimbatore,2023-06-02,0,Tamil Nadu,11.8,440,125,-0.14,9.1,2,2,3.5,1.7,0.41,5.0,6.7,13.8,37.3,5.0,1,1.6284000000000003,3.3942999999999994,2.413793103448276,6.9074074074074066
Raigad,2019-11-02,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,8.8,31.1,40.2,166.7,21.7,0,7.597799999999999,13.0026,1.506112469437653,26.887096774193544
Kolhapur,2020-11-16,0,Maharashtra,15.1,460,110,-0.21,8.5,1,3,2.2,2.1,0.46,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Idukki,2021-10-16,1,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68,47.5,61.9,120.1,241.6,47.5,0,33.868199999999995,17.3952,2.752483443708609,21.008695652173913
Dakshina Kannada,2019-12-23,0,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,0.0,0.9,4.2,7.0,0.8,0,0.8442000000000002,0.539,0.0,1.1864406779661016
Dakshina Kannada,2019-08-09,1,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,89.1,259.0,462.9,567.5,99.2,1,93.0429,43.6975,1.3453408110440037,96.18644067796609
Chikmagalur,2020-08-22,1,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,7.2,19.3,75.5,166.9,7.2,1,16.912,12.5175,0.6614173228346457,16.858585858585858
Ratnagiri,2016-12-27,0,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0166,0.0,0.044444444444444446
Dakshina Kannada,2017-09-12,0,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,3.2,32.5,58.8,131.4,24.3,1,11.818800000000001,10.1178,0.3764705882352941,22.271186440677965
Pune,2015-08-15,0,Maharashtra,13.4,580,130,-0.17,8.8,2,3,3.2,1.8,0.38,2.3,9.2,20.4,45.1,4.3,1,2.7336,3.9688000000000003,0.7630331753554502,6.632352941176471
Wayanad,2016-09-25,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,1.8,7.9,14.0,27.4,4.0,1,3.43,2.1371999999999995,0.8571428571428571,2.8247422680412373
Satara,2021-09-05,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,16.9,33.8,62.3,76.3,16.9,1,13.3945,5.7988,1.8777777777777775,8.670454545454545
Chikmagalur,2020-01-01,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,0.0,0.0,1.0,2.2,0.0,0,0.22399999999999998,0.165,0.0,0.22222222222222224
Kolhapur,2022-07-04,0,Maharashtra,15.1,460,110,-0.21,8.5,1,3,2.2,2.1,0.46,31.8,43.7,101.5,196.0,31.8,1,15.3265,16.66,2.178082191780822,35.0
Raigad,2023-08-26,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,15.9,45.9,71.2,106.3,17.2,1,13.456800000000001,8.2914,1.54798331015299,17.14516129032258
Dakshina Kannada,2017-04-13,0,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,0.1,0.8,3.8,8.4,0.6,0,0.7637999999999999,0.6468,0.15555555555555559,1.423728813559322
Pune,2022-08-18,0,Maharashtra,13.4,580,130,-0.17,8.8,2,3,3.2,1.8,0.38,10.6,50.0,128.7,392.8,22.9,1,17.2458,34.5664,0.5734157650695518,57.76470588235294
Dindigul,2020-09-24,0,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49,0.3,0.6,4.4,14.9,0.3,1,0.7744000000000001,1.192,0.41176470588235287,2.0694444444444446
Uttara Kannada,2016-03-15,0,Karnataka,19.6,610,105,-0.35,7.9,0,3,1.1,2.6,0.71,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Raigad,2015-01-20,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Wayanad,2019-07-16,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,5.4,27.5,53.6,122.9,13.9,1,13.132,9.5862,0.6961325966850829,12.670103092783506
Ratnagiri,2023-02-21,0,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Kodagu,2019-08-09,1,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74,56.2,215.4,348.6,390.2,95.8,1,93.42480000000002,27.314,1.12625250501002,32.516666666666666
Dakshina Kannada,2017-07-09,0,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,19.2,56.6,191.0,424.5,23.1,1,38.391000000000005,32.6865,0.701095461658842,71.94915254237287
Chikmagalur,2016-07-10,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,16.9,29.3,96.0,257.0,16.9,1,21.503999999999998,19.275,1.2233712512926578,25.95959595959596
Wayanad,2018-09-16,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,4.7,17.1,25.9,26.4,9.5,1,6.3454999999999995,2.0591999999999997,1.236842105263158,2.7216494845360826
Nilgiris,2020-07-11,0,Tamil Nadu,27.3,1820,98,-0.59,6.9,0,2,0.8,3.5,0.76,5.7,22.3,40.8,80.3,14.3,1,11.138399999999999,5.5407,0.9614457831325303,4.182291666666667
Idukki,2021-08-24,0,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68,3.0,45.1,66.2,112.0,23.5,1,18.668400000000002,8.064,0.31390134529147984,9.73913043478261
Kozhikode,2018-08-16,1,Kerala,15.7,320,88,-0.22,8.4,1,1,1.8,2.2,0.58,35.2,186.3,288.3,411.2,103.1,1,45.2631,34.5408,0.8525951557093425,97.9047619047619
Malappuram,2019-08-10,1,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61,40.7,210.2,324.2,343.6,91.8,1,59.328599999999994,27.831599999999998,0.8768851954447524,66.07692307692308
Kodagu,2020-01-07,0,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74,0.0,0.0,0.0,2.7,0.0,0,0.0,0.18900000000000003,0.0,0.225
Sindhudurg,2020-07-05,0,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53,19.0,104.0,220.2,288.3,45.8,1,31.268399999999996,24.7938,0.6020823902218199,75.86842105263159
Ratnagiri,2016-06-23,0,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55,14.6,37.9,139.2,230.7,15.9,1,23.3856,19.148100000000003,0.7305218012866334,51.266666666666666
Chikmagalur,2022-06-24,0,Karnataka,22.4,890,92,-0.48,7.5,0,2,1.4,2.9,0.69,19.9,38.2,82.7,121.5,19.9,1,18.5248,9.1125,1.6702637889688248,12.272727272727272
Malappuram,2019-06-12,0,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61,8.6,39.3,57.2,104.2,16.4,1,10.4676,8.440199999999999,1.0397236614853194,20.038461538461537
Sindhudurg,2021-07-25,1,Maharashtra,14.2,280,82,-0.19,8.6,1,3,2.4,2.0,0.53,27.8,277.8,678.9,1107.0,210.6,1,96.40379999999999,95.20199999999998,0.2863449087698647,291.3157894736842
Thrissur,2018-08-16,1,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,60.3,207.4,290.8,434.6,99.7,1,35.1868,38.67940000000001,1.4480274442538592,140.19354838709677
Kozhikode,2017-02-23,0,Kerala,15.7,320,88,-0.22,8.4,1,1,1.8,2.2,0.58,0.0,0.2,0.2,0.3,0.1,0,0.031400000000000004,0.0252,0.0,0.07142857142857142
Satara,2018-11-12,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,0.0,0.0,2.4,17.7,0.0,0,0.516,1.3451999999999997,0.0,2.0113636363636362
Uttara Kannada,2022-09-14,0,Karnataka,19.6,610,105,-0.35,7.9,0,3,1.1,2.6,0.71,4.6,25.0,79.2,217.0,14.0,1,15.523200000000001,17.143,0.4030037546933667,30.563380281690144
Satara,2015-08-25,0,Maharashtra,21.5,780,120,-0.44,7.6,1,3,1.5,2.7,0.48,6.8,9.8,14.1,45.4,6.8,1,3.0315,3.4503999999999997,3.2162162162162162,5.159090909090908
Raigad,2017-07-22,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,45.9,154.6,459.6,692.0,60.9,1,86.8644,53.97599999999999,0.6980230284597002,111.61290322580645
Ratnagiri,2017-09-03,0,Maharashtra,16.8,350,75,-0.25,8.3,1,3,2.0,2.1,0.55,1.5,7.0,87.1,180.9,3.0,1,14.6328,15.014700000000003,0.11958997722095674,40.2
Raigad,2021-07-22,1,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,50.3,242.0,476.7,820.0,123.0,1,90.09629999999999,63.96,0.7375366568914957,132.25806451612902
Wayanad,2015-12-11,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,0.6,2.8,16.1,29.9,1.2,0,3.9445000000000006,2.3322,0.24999999999999994,3.082474226804124
Malappuram,2019-02-04,0,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61,0.0,0.0,0.1,0.1,0.0,0,0.0183,0.008100000000000001,0.0,0.019230769230769232
Coimbatore,2023-09-02,0,Tamil Nadu,11.8,440,125,-0.14,9.1,2,2,3.5,1.7,0.41,8.5,31.9,47.9,55.2,17.2,1,5.652200000000001,5.0232,1.2242798353909465,10.222222222222221
Pune,2019-04-24,0,Maharashtra,13.4,580,130,-0.17,8.8,2,3,3.2,1.8,0.38,0.0,0.0,0.0,2.6,0.0,0,0.0,0.22880000000000003,0.0,0.3823529411764706
Kodagu,2018-08-17,1,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74,17.8,96.8,215.4,293.5,55.7,1,57.7272,20.545,0.5765849143914854,24.458333333333332
Idukki,2021-09-26,0,Kerala,28.2,1050,95,-0.55,7.2,0,2,0.9,3.1,0.68,8.4,24.0,32.9,131.7,9.4,1,9.2778,9.482399999999998,1.7500000000000002,11.452173913043477
Shivamogga,2022-12-01,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,0.0,0.1,5.7,10.2,0.1,0,0.9861000000000001,0.8363999999999998,0.0,1.5937499999999998
Dakshina Kannada,2016-02-20,0,Karnataka,20.1,490,96,-0.38,7.7,0,1,1.0,2.7,0.7,0.0,0.0,0.0,0.1,0.0,0,0.0,0.0077,0.0,0.01694915254237288
Kodagu,2023-12-21,0,Karnataka,26.8,1100,85,-0.61,7.0,0,2,0.7,3.4,0.74,0.0,0.2,3.5,32.9,0.1,0,0.938,2.303,0.0,2.7416666666666667
Theni,2016-08-03,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,0.3,0.7,10.2,104.3,0.3,1,2.4377999999999997,7.6139,0.19266055045871558,10.028846153846153
Dindigul,2020-11-11,0,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49,2.4,2.5,31.1,60.3,2.4,0,5.4736,4.824,0.5283018867924528,8.375
Dindigul,2023-02-06,0,Tamil Nadu,17.6,620,108,-0.31,8.0,1,2,2.0,2.3,0.49,0.0,1.9,15.5,21.5,1.8,0,2.728,1.72,0.0,2.986111111111111
Thrissur,2018-01-25,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,0.0,0.0,0.0,0.2,0.0,0,0.0,0.017800000000000003,0.0,0.06451612903225806
Shivamogga,2023-09-26,0,Karnataka,17.3,540,118,-0.29,8.2,0,3,1.6,2.5,0.65,1.9,15.4,28.4,51.6,9.7,1,4.9132,4.231199999999999,0.45704467353951894,8.0625
Raigad,2020-09-11,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,6.4,39.2,92.7,232.4,25.4,1,17.5203,18.127200000000002,0.4796573875802998,37.483870967741936
Thrissur,2015-12-27,0,Kerala,12.1,210,102,-0.15,8.9,1,1,2.8,1.9,0.52,0.0,0.0,0.1,20.2,0.0,0,0.0121,1.7978,0.0,6.516129032258064
Raigad,2015-09-18,0,Maharashtra,18.9,520,88,-0.33,7.8,1,3,1.3,2.4,0.51,21.7,42.7,140.3,208.8,21.7,1,26.5167,16.2864,1.077304964539007,33.67741935483871
Wayanad,2023-07-17,0,Kerala,24.5,870,112,-0.42,7.8,0,1,1.2,2.8,0.72,2.1,4.8,15.2,162.0,2.1,1,3.7239999999999998,12.636,0.9245283018867925,16.701030927835053
Malappuram,2022-11-06,0,Kerala,18.3,420,78,-0.28,8.1,1,1,2.1,2.4,0.61,7.3,17.3,43.0,54.7,7.3,0,7.869,4.4307,1.1693363844393592,10.51923076923077
Pune,2015-06-15,0,Maharashtra,13.4,580,130,-0.17,8.8,2,3,3.2,1.8,0.38,7.3,29.8,98.9,138.4,13.3,1,13.252600000000003,12.179200000000002,0.5130522088353413,20.35294117647059
Theni,2023-08-17,0,Tamil Nadu,23.9,940,92,-0.51,7.3,0,2,1.1,3.0,0.66,0.0,3.4,28.4,69.7,3.2,1,6.7875999999999985,5.0881,0.0,6.701923076923077
